# PURPOSE: This file distributes the geomagnetic planetary three-hour index Kp and associated geomagnetic indices as well as relevant solar indices.
# LICENSE: CC BY 4.0, except for the sunspot numbers contained in this file, which have the CC BY-NC 4.0 license
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
# Note: the most recent values are nowcast values and will be replaced by definitive values as soon as they become available.
# 
# International Sunspot Number SN
# The international sunspot number SN (written with subscript N) is given as the daily total sunspot number version 2.0 introduced in 2015.
# The sunspot data is available under the licence CC BY-NC 4.0 from WDC-SILSO, Royal Observatory of Belgium, Brussels. Described in:
# Clette, F., Lefevre, L., 2016. The New Sunspot Number: assembling all corrections. Solar Physics, 291, https://doi.org/10.1007/s11207-016-1014-y 
# Note: the most recent values are preliminary and replaced by definitive values as soon as they become available.
#
# F10.7 Solar Radio Flux
# Local noon-time observed (F10.7obs) and adjusted (F10.7adj) solar radio flux F10.7 in s.f.u. (10^-22 W m^-2 Hz^-1) is provided by 
# Dominion Radio Astrophysical Observatory and Natural Resources Canada.
# Described in: Tapping, K.F., 2013. The 10.7 cm solar radio flux (F10.7). Space Weather, 11, 394-406, https://doi.org/10.1002/swe.20064 
# Note: For ionospheric and atmospheric studies the use of F10.7obs is recommended.
# 
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 40 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp, -1 for ap and SN, -1.0 for F10.7
# YYYY MM DD is date of UT day, days is days since 1932-01-01 00:00 UT to start of UT day, days_m is days since 1932-01-01 00:00 UT to midday of UT day
# BSR is Bartels solar rotation number, dB is day within BSR 
# Kp1 to Kp8 (Kp for the eight eighth of the UT day), ap1 to ap8 (ap for the eight eighth of the UT day), Ap, SN, F10.7obs, F10.7adj
# D indicates if the Kp and SN values are definitive or preliminary. D=0: Kp and SN preliminary; D=1: Kp definitive, SN preliminary; D=2 Kp and SN definitive
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii iiiii fffff.f iiii ii ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff ff.fff iiii iiii iiii iiii iiii iiii iiii iiii  iiii iii ffffff.f ffffff.f i
# The parameters in each line are:
#YYY MM DD  days  days_m  Bsr dB    Kp1    Kp2    Kp3    Kp4    Kp5    Kp6    Kp7    Kp8  ap1  ap2  ap3  ap4  ap5  ap6  ap7  ap8    Ap  SN F10.7obs F10.7adj D
1988 02 24 20508 20508.5 2111 25  3.667  3.333  2.333  2.333  2.667  1.667  3.000  1.667   22   18    9    9   12    6   15    6    12  26    101.7     99.6 2
1988 02 25 20509 20509.5 2111 26  3.333  4.000  2.667  2.000  2.333  2.000  3.000  3.000   18   27   12    7    9    7   15   15    14  22     98.4     96.4 2
1988 02 26 20510 20510.5 2111 27  3.000  2.000  2.000  1.667  0.667  2.667  2.667  2.333   15    7    7    6    3   12   12    9     9  17     98.6     96.7 2
1988 02 27 20511 20511.5 2112  1  2.333  3.333  2.333  1.333  0.667  0.333  0.667  2.000    9   18    9    5    3    2    3    7     7  35     98.2     96.3 2
1988 02 28 20512 20512.5 2112  2  1.667  1.333  1.667  1.000  1.333  1.333  1.667  0.667    6    5    6    4    5    5    6    3     5  45     99.0     97.1 2
1988 02 29 20513 20513.5 2112  3  0.667  0.333  0.667  1.000  0.667  1.000  1.000  0.333    3    2    3    4    3    4    4    2     3  59    105.2    103.3 2
1988 03 01 20514 20514.5 2112  4  1.333  1.000  1.333  1.333  0.667  0.333  1.667  1.667    5    4    5    5    3    2    6    6     4  81    101.6     99.8 2
1988 03 02 20515 20515.5 2112  5  0.667  0.333  1.667  1.333  1.333  2.000  0.667  3.333    3    2    6    5    5    7    3   18     6  79    100.8     99.1 2
1988 03 03 20516 20516.5 2112  6  2.667  1.333  2.333  1.333  2.000  3.000  3.000  2.667   12    5    9    5    7   15   15   12    10  86    103.6    101.9 2
1988 03 04 20517 20517.5 2112  7  4.333  4.000  4.000  3.000  3.000  3.000  3.000  1.667   32   27   27   15   15   15   15    6    19  92    104.3    102.6 2
1988 03 05 20518 20518.5 2112  8  2.333  2.667  1.333  1.667  1.333  1.333  2.000  2.667    9   12    5    6    5    5    7   12     8  77    108.4    106.7 2
1988 03 06 20519 20519.5 2112  9  4.667  3.667  3.333  2.333  3.667  3.333  3.333  1.333   39   22   18    9   22   18   18    5    19  73    109.3    107.6 2
1988 03 07 20520 20520.5 2112 10  2.333  1.667  2.333  1.333  0.667  3.333  3.667  3.333    9    6    9    5    3   18   22   18    11  78    108.9    107.3 2
1988 03 08 20521 20521.5 2112 11  3.333  5.000  5.000  4.333  4.667  2.333  2.333  2.000   18   48   48   32   39    9    9    7    26  80    105.6    104.1 2
1988 03 09 20522 20522.5 2112 12  2.667  3.667  2.667  3.667  2.000  2.667  2.333  1.333   12   22   12   22    7   12    9    5    13  59    102.9    101.5 2
1988 03 10 20523 20523.5 2112 13  1.333  1.000  2.000  2.333  3.333  3.000  3.333  3.667    5    4    7    9   18   15   18   22    12  43    100.5     99.2 2
1988 03 11 20524 20524.5 2112 14  3.000  3.667  2.333  2.333  4.000  2.333  3.000  1.667   15   22    9    9   27    9   15    6    14  24    104.2    102.9 2
1988 03 12 20525 20525.5 2112 15  1.667  1.667  2.000  2.333  1.667  2.333  2.333  3.333    6    6    7    9    6    9    9   18     9  47    104.8    103.5 2
1988 03 13 20526 20526.5 2112 16  2.000  0.333  1.667  1.000  0.333  1.333  1.667  1.333    7    2    6    4    2    5    6    5     5  63    109.1    107.8 2
1988 03 14 20527 20527.5 2112 17  2.667  2.000  2.667  1.333  3.000  2.333  3.000  3.667   12    7   12    5   15    9   15   22    12  74    110.1    108.9 2
